Rank,Coin Name,Symbol, Price ,1h,24h,7d,30d, 24h Volume ,Circulating Supply,Total Supply, Market Cap 
1,Bitcoin,BTC,"36,456.94",0.40%,-1.70%,1.00%,18.40%,"$22,801,222,945.00 ","19,549,806",21 Million,"$712,726,163,003.00 "
2,Ethereum,ETH,"2,027.60",0.50%,1.40%,1.00%,20.70%,"$26,845,710,464.00 ","120,249,015",120 Million,"$243,488,187,281.00 "
3,Tether,USDT,1,0.10%,-0.30%,-0.10%,-0.10%,"$47,122,466,339.00 ","88,308,652,879",88.3 Billion,"$88,027,617,310.00 "
4,BNB,BNB,231.63,-0.10%,-12.60%,-8.00%,5.40%,"$3,715,265,116.00 ","153,856,150",154 Million,"$35,716,332,862.00 "
5,XRP,XRP,0.59,0.10%,-1.90%,-6.90%,12.10%,"$1,339,890,506.00 ","53,718,306,475",100 Billion,"$31,863,926,051.00 "
6,USDC,USDC,1,0.00%,-0.40%,0.00%,0.00%,"$16,458,242,430.00 ","24,264,590,094",24.3 Billion,"$24,120,082,159.00 "
7,Solana,SOL,54.97,0.60%,-0.60%,-11.40%,87.90%,"$2,374,980,324.00 ","423,104,320",563 Million,"$23,258,087,884.00 "
8,Lido Staked Ether,STETH,"2,023.81",0.40%,1.50%,0.90%,20.70%,"$17,625,537.00 ","9,107,771",9.11 Million,"$18,435,320,434.00 "
9,Cardano,ADA,0.37,0.10%,-1.60%,0.70%,40.10%,"$373,277,046.00 ","34,964,744,027",45 Billion,"$12,903,956,719.00 "
10,Dogecoin,DOGE,0.07,0.10%,-2.30%,0.10%,14.90%,"$957,225,658.00 ","141,935,606,384",142 Billion,"$10,532,913,776.00 "
11,TRON,TRX,0.1,0.40%,-0.90%,-4.20%,10.50%,"$702,105,088.00 ","88,600,097,491",88.6 Billion,"$8,845,804,888.00 "
12,Toncoin,TON,2.39,0.90%,0.40%,4.10%,10.90%,"$27,257,580.00 ","3,453,524,566",5.1 Billion,"$8,244,520,721.00 "
13,Chainlink,LINK,14.26,0.30%,-0.40%,-3.50%,40.00%,"$926,388,873.00 ","556,849,971",1 Billion,"$7,941,773,511.00 "
14,Avalanche,AVAX,20.08,0.50%,-6.50%,2.90%,100.90%,"$1,061,106,290.00 ","355,636,845",433 Million,"$7,141,343,014.00 "
15,Polygon,MATIC,0.76,0.50%,-1.60%,-15.70%,25.10%,"$711,370,306.00 ","9,275,380,957",10 Billion,"$7,042,683,031.00 "
16,Polkadot,DOT,5.09,0.50%,-1.60%,-5.90%,26.40%,"$271,357,711.00 ","1,299,550,655",1.38 Billion,"$6,613,672,178.00 "
17,Wrapped Bitcoin,WBTC,"36,410.06",0.40%,-1.40%,1.10%,18.20%,"$309,567,762.00 ","162,623",163 Thousand,"$5,917,513,839.00 "
18,Dai,DAI,1,-0.10%,-0.40%,-0.10%,-0.40%,"$315,871,456.00 ","5,308,318,100",5.31 Billion,"$5,284,281,250.00 "
19,Litecoin,LTC,67.37,-0.10%,-3.80%,-6.40%,1.90%,"$447,880,362.00 ","73,901,846",84 Million,"$4,981,779,441.00 "
20,Shiba Inu,SHIB, $-   ,0.30%,-4.20%,-7.10%,9.90%,"$214,418,543.00 ","589,326,636,861,240",1 Quadrillion,"$4,682,520,125.00 "
21,Bitcoin Cash,BCH,219.26,0.00%,-5.90%,-5.70%,-10.00%,"$197,348,486.00 ","19,565,919",21 Million,"$4,285,700,162.00 "
22,Uniswap,UNI,5.56,1.50%,10.10%,6.50%,31.80%,"$324,382,183.00 ","753,766,667",1 Billion,"$4,172,482,535.00 "
23,LEO Token,LEO,3.98,-0.10%,1.10%,-1.10%,2.80%,"$1,301,722.00 ","928,455,568",985 Million,"$3,691,760,459.00 "
24,OKB,OKB,57.04,0.10%,1.80%,-3.30%,29.00%,"$49,303,991.00 ","60,000,000",236 Million,"$3,416,416,730.00 "
25,TrueUSD,TUSD,1,0.10%,-1.20%,-0.30%,-0.40%,"$304,244,967.00 ","3,275,340,425",3.28 Billion,"$3,275,141,377.00 "
26,Stellar,XLM,0.12,0.10%,-1.20%,-2.70%,3.80%,"$74,835,772.00 ","27,990,259,191",50 Billion,"$3,257,475,392.00 "
27,Monero,XMR,162.5,0.30%,-1.10%,-0.90%,1.90%,"$102,088,968.00 ","18,147,820",âˆž,"$2,946,441,264.00 "
28,Kaspa,KAS,0.13,-0.50%,2.00%,17.20%,156.00%,"$113,449,358.00 ","21,629,194,603",21.6 Billion,"$2,764,511,159.00 "
29,Ethereum Classic,ETC,18.63,0.30%,-2.40%,-3.50%,17.70%,"$167,115,878.00 ","143,202,120",211 Million,"$2,665,685,146.00 "
30,Cosmos Hub,ATOM,8.62,0.50%,-2.70%,-9.00%,28.70%,"$210,105,658.00 ","292,586,164",âˆž,"$2,520,997,917.00 "
31,Cronos,CRO,0.09,-1.60%,1.00%,-11.00%,67.70%,"$28,257,797.00 ","26,385,699,323",30 Billion,"$2,425,344,883.00 "
32,Lido DAO,LDO,2.48,1.90%,4.00%,-0.10%,40.20%,"$106,146,291.00 ","890,191,580",1 Billion,"$2,197,746,319.00 "
33,Filecoin,FIL,4.37,0.00%,-3.70%,-14.30%,25.90%,"$201,698,294.00 ","471,740,745",1.96 Billion,"$2,061,302,504.00 "
34,Hedera,HBAR,0.06,0.60%,-3.90%,0.10%,21.40%,"$74,942,726.00 ","33,562,400,523",50 Billion,"$2,009,561,668.00 "
35,Aptos,APT,7.16,0.30%,-1.00%,-6.00%,20.80%,"$137,618,187.00 ","276,002,428",1.07 Billion,"$1,975,596,895.00 "
36,Internet Computer,ICP,4.26,0.30%,-1.60%,-5.40%,28.80%,"$48,796,544.00 ","449,607,558",510 Million,"$1,915,851,337.00 "
37,NEAR Protocol,NEAR,1.8,0.00%,-6.60%,8.40%,69.50%,"$300,672,386.00 ","1,000,915,617",1 Billion,"$1,805,533,947.00 "
38,BUSD,BUSD,1,0.40%,-1.10%,-0.30%,-0.20%,"$4,614,206,667.00 ","1,772,658,616",1.76 Billion,"$1,776,602,916.00 "
39,THORChain,RUNE,5.8,0.90%,8.20%,-0.20%,191.90%,"$832,767,166.00 ","300,700,561",500 Million,"$1,745,571,533.00 "
40,Immutable,IMX,1.33,0.70%,1.00%,14.40%,122.00%,"$831,069,420.00 ","1,251,798,947",2 Billion,"$1,665,608,134.00 "
41,Optimism,OP,1.71,1.00%,0.90%,-7.50%,33.10%,"$145,187,244.00 ","880,917,403",4.29 Billion,"$1,503,698,590.00 "
42,VeChain,VET,0.02,0.40%,-1.70%,-5.30%,13.30%,"$65,941,926.00 ","72,714,516,834",86 Billion,"$1,469,956,158.00 "
43,Mantle,MNT,0.46,-0.10%,-2.90%,0.30%,21.30%,"$16,337,730.00 ","3,105,990,005",6.22 Billion,"$1,434,927,462.00 "
44,Quant,QNT,98.04,0.00%,-1.40%,-4.70%,5.50%,"$31,347,588.00 ","14,544,176",14.6 Million,"$1,426,103,888.00 "
45,Bittensor,TAO,244.18,-1.10%,4.50%,60.80%,381.90%,"$17,665,641.00 ","5,653,953",5.65 Million,"$1,393,270,902.00 "
46,Aave,AAVE,92.53,-0.60%,4.30%,-1.00%,11.00%,"$169,071,815.00 ","14,640,360",16 Million,"$1,353,296,683.00 "
47,Maker,MKR,"1,469.55",0.80%,1.30%,3.30%,-3.40%,"$134,212,928.00 ","901,311",978 Thousand,"$1,323,268,975.00 "
48,Injective,INJ,15.63,0.70%,0.70%,-5.60%,51.20%,"$101,870,789.00 ","84,255,556",100 Million,"$1,316,138,826.00 "
